location,business_name,position,start_date,end_date,experience,wage,pay_frequency,tips,employment_type,benefits,gender,race,sexuality,notes
Austin,Coffeehouse at Caroline ,Lead Barista,2017,Current,0,18,Hourly,0,FT,"All, health, PTO, Vacation after a year, shift meals, tuition reimbursement ",,,,15% of tips skimmed off the top by owners
Austin,Texas Coffee Traders,Team member,2012,Current,0,17.5,Hourly,0,FT,Health,,,,
Austin,Texas Coffee Traders ,Team Member,2012,Current,0,17.35,Hourly,0,FT,PTO / Health Insurance,,,,
Boston,Caffe Nero,Store Manager,2018,,3,53500,Salary,0,FT,"401k (all employees 21+), PTO, health/dental (FT only)",,,,
Chicago,Aramark FCB Coffee Bar,Lead Barista,2017,Current,,13.24,Hourly,0,PT,None,,,,
Chicago,Barnes & Noble Cafe,Shift Supervisor,2011,2017,,12.75,Hourly,0,FT,Store Discount,,,,
Colorado Springs,Switchback,Roaster/Education,2018,Current,3,18,Hourly,0,FT,PTO/sick time/accident insurance,,,,
Dallas Fort Worth,Starbucks,Barista,2011,2013,0,8.5,Hourly,0,PT,,,,,
Michigan,Stovetop Roasters,Roaster/Bagger/QC/Sales/Cafe/Anything/Everything,2017,2019,4,23500,Salary,0,FT,2 Weeks PTO,Male,Caucasian ,Gay,
Michigan,Mockingbird Coffee,COO,2019,2019,6,36000,Salary,0,FT,"4 weeks PTO, 2 Weeks Sick, Full Health, Vision, Dental",Male,Caucasian ,Gay,
Michigan,Starbucks,Store Manager,2019,Current,9,65000,Salary,0,FT,All,Male,Caucasian ,Queer,
Michigan,Stovetop Roasters,Production,2019,Current,5,15,Hourly,0,PT,None,Non-binary / non-comforming ,Caucasian ,Queer,
Michigan,Starbucks,Shift Leader,2017,2018,0,12,Hourly,0,FT,None,,,,
Michigan,Starbucks,Store Manager,2019,Current,6,55500,Salary,0,FT,"PTO, health insurance, 401k contributions, and more ",,,,
New York,Counter Culture Coffee,Regional Technician,2018,Current,5,47000,Salary,0,FT,Health insurance ,,,,
New York,East One Coffee,General manager ,2019,Current,8,50000,Salary,0,FT,PTO only,,,,
New York,Starbucks,Shift Leader,2015,Current,0,12.67,Hourly,0,FT,"Vacation, health insurance,dental insurance, vision insurance, sick time, 401k, stock, Spotify prime account, online college through ASU.",Female,Caucasian ,,
Philadelphia,Java City,Barista,2018,2019,,15,Hourly,0,FT,Full benefits,,,,
Philadelphia,Starbucks,Barista,2017,2018,,13.95,Hourly,0,PT,None,,,,
Philadelphia,Nook Bakery & Coffee Bar,Manager,2018,2019,,8.5,Hourly,0,FT,None,,,,
Philadelphia,Tribe Cafe,Shift Leader,2017,2017,,8,Hourly,0,FT,,,,,
Portland,Upper Left Roasters,Assistant Roaster,2019,Current,5,14,Hourly,0,FT,12oz of coffee per month and one shift meal,,,,
Portland,Groundwork Coffee,Roaster,2019,Current,4,17,Hourly,0,FT,All,,,,
Portland,Groundwork Coffee,Operations Assistant,2018,Current,14.5,16,Hourly,0,FT,"Health care, free coffee, merch discounts, 401k",,Caucasian ,,
Portland,Upper Left Roasters,Assistant Roaster,2019,2019,5,13,Hourly,0,PT,None,,,,
Portland,Nossa Familia Coffee,Admin,2018,Current,8,21,Hourly,0,PT,"PTO (2 weeks per year), health Care 60% off premiums for people working 27+ hours/week, free coffee, paid volunteer hours (16/year), 3% IRA contribution match for any employee, commuter benefits ($75 reimbursement for bike or public transportation expenses / year) ",,,,
Portland,Water Avenue Coffee,Retail operations manager ,2017,2019,10,19,Hourly,0,FT,"PTO, (expensive) health care, free drinks, 50% off shift meal, paid volunteer time",,,,
Portland,Stumptown Coffee,Assistant Manager,2018,Current,7,46000,Salary,0,FT,"Pto, 401k, insurance, free coffee, local discounts, paid lunch",,,,
Portland,Nossa Familia Coffee,Assistant Roaster,2017,Current,0,14,Hourly,0,FT,"PTO, Health care, free coffee, paid volunteer time",,,,
Portland,Guilder ,Co-owner,2017,Current,4,12.5,Hourly,0,FT,"PTO, one 12oz coffee/wk, 50% off food & n/a begs, free coffee & tea bevs, free shirts",,,,
Portland,Proud Mary Coffee,Head Roaster,2018,Current,6,17,Hourly,0,FT,shift meal,,,,
San Francisco,Starbucks,Store Manager,2012,Current,0,68000,Salary,0,FT,"health insurance, 401k, stock benefits, PTO, sick/personal days + a lot more",,,,
San Francisco,Allegro Coffee Roasters,Roaster/prod. supervisor ,2019,Current,3,21,Hourly,0,FT,"Health/dental, employer sponsored flex spending dollars, 20% Whole Foods discount, ",,,,
San Francisco,Bon Appetit Management Company,Lead Barista,2016,2016,2,17.5,Hourly,0,FT,"Kaiser health, PTO, 2 free meals a day, free beverages all day, dental, vision, 401K",,,,
San Francisco,Chromatic Coffee,Production roaster,2018,2019,11,15,Hourly,0,PT,None,,,,
San Francisco,Chromatic Coffee,Coffee Roaster,2019,Current,5.5,20,Hourly,0,FT,Paid Sick Time,,,,
Seattle,Seattle coffee works,Barista,2016,2019,2,23,Hourly,0,FT,"2weekspto, health insurance $85/month, profit share quarterly, transit pass 10/month. ",,,,Went tipless in 2017
Seattle,Seattle Coffee Works,Barista,2019,Current,2,18,Hourly,0,FT,"Approx 6 days pto per year, health insurance, reduced cost orca card, weekly free coffee",,,,
Seattle,Narrative Coffee,Managing Member / Co-owner,2016,Current,4,40800,Salary,0,FT,"For me? Flexible schedule. 

For staff - paid sick leave (including mental health), free espresso / batch brew, professional development opportunities from full in house paid training to funding trips to barista competitions, and flexible schedule. ",,,,
Seattle,Tullys coffee ,Training Specialist,2008,2014,4,37000,Salary,0,FT,Full benefits- company paid 70% ,,,,
Seattle,PCC Fremont,Barista,2017,2017,0,13.5,Hourly,0,FT,"Full medical, health, dental, ORCA card, store discount (no free food though)",,,,
Seattle,Bon Appetit,Barista,2013,2019,2,23,Hourly,0,FT,"Health insurance, Union, paid time off",,,,
Seattle,Ada's Discovery Cafe,Supervisor,2019,Current,3,17.6,Hourly,0,FT,"Health, dental, vision, orca card, supports me going to competition, discounts, PTO, Sick Time Off",,,,
Seattle,Ghost Note Coffee,Owner/Coffee Director ,2017,Current,10,26000,Salary,0,FT,"I’m the owner of the cafe, so I do not offer myself benefits. My staff gets 2 weeks PTO and paid holidays. ",,,,
Seattle,Seattle Coffee Works,Barista,2019,2019,6,14,Hourly,0,FT,"insurance, bus card",,,,
